,Date,Country,City,Killed,Injured,Total,Description
160,13/4/2002,India,Bonkoot,1,2,3,A Mujahideen attack on a security patrol leaves one member dead.
161,14/4/2002,India,Pulwama,1,9,10,A grenade lobbed onto the road by a militant Muslim kills a civilian and injures nine others.
162,15/4/2002,India,Doda,1,0,1,A woman is cut down by Muslim terrorists.
163,16/4/2002,India,Srinagar,2,0,2,The Mujahideen kills two civilians with an IED.
164,16/4/2002,India,Awantipora,2,4,6,Two civilians are killed in a bomb blast at a market.
165,18/4/2002,India,Dooru,1,0,1,A civilian is abducted and killed by Islamic terrorists.
166,20/4/2002,India,Milan,3,4,7,"The Mujahideen attacks a security patrol, killing three members."
167,20/4/2002,India,Sagarian Azmatabad,2,0,2,Islamists kill a man and his grandmother at their residence.
168,21/4/2002,Pakistan,Karachi,1,0,1,A physician succumbs to injuries suffered in a sectarian attack.
169,22/4/2002,India,Kashmir,3,0,3,"In separate attacks, two people are abducted and killed, and a woman is killed inside her home by Islamic militants."
170,22/4/2002,India,Nagam,2,0,2,Two laborers are shot to death by Islamic terrorists.
171,23/4/2002,India,Shopian,1,3,4,Four students are kidnapped and 'severely' tortured.  A 15-year-old dies and the others are freed.
172,23/4/2002,Bangladesh,Chittagong,1,0,1,A Buddhist monk is stabbed to death by Islamic terrorists after returning home from prayers.
173,24/4/2002,Algeria,al-Jeije,16,0,16,"Fundamentalists kill a total of sixteen includes eight children and four women, all from the same family."
174,25/4/2002,India,Gharat Morh,1,2,3,A civilian is killed when Islamic militants lob a bomb under a passenger bus.  Twenty-one others are injured.
175,25/4/2002,Pakistan,Lahore,12,25,37,"Radical Sunnis bomb a Shia ceremony, slaughtering twelve, including seven women and five children.  Twenty-five others suffer injury."
176,25/4/2002,India,Dharmsal,2,0,2,Two civilians are abducted by militant Muslims.  Their bodies are recovered four days later.
177,25/4/2002,Algeria,Mashraat Sava,4,0,4,Armed Islamic attack kills four people.
178,27/4/2002,Israel,Adora,4,7,11,"Palestinian terrorists dressed in IDF uniforms infiltrate a settlement and killed four civilians, including a 5-year old boy. Seven others were injured."
179,28/4/2002,Sudan,Shoba Karika,24,23,47,"An Arab militia attacks two villages, killing about two dozen African civilians and burning many houses.  At least that many are injured as well."
180,28/4/2002,Indonesia,Soya,12,6,18,Muslims attack a Christian village with knives and guns. They are able to slaughter twelve people and hurt six more.
181,29/4/2002,India,Sangarwani Keller,1,0,1,A civilian is abducted and murdered by the Mujahideen.
182,1/5/2002,Pakistan,Muzaffarabad,1,4,5,A bombing kills a 5-year-old boy and injures four of his family members.
183,1/5/2002,Pakistan,Karachi,0,20,20,"Two blasts, occurring at a market and a nursery, injure twenty, including children."
184,1/5/2002,Bangladesh,Natore,1,25,26,"Islamic fundamentalists bomb a cinema, killing a young boy and injuring two dozen others."
185,2/5/2002,Algeria,Sedi Khaled,11,0,11,"Eleven civilians, including children, are massacred by Islamic fundamentalists."
186,2/5/2002,Algeria,Kasar Shalala,20,5,25,Islamist attack on civilians in the Teyart region leaves twenty dead.
187,2/5/2002,Pakistan,Karachi,1,4,5,A man is killed by a bomb in his own home.  Four family members are injured.
188,2/5/2002,India,Athwatoo,1,0,1,A civilian is abducted and murdered by the Mujahideen.
189,3/5/2002,India,Bandipore,3,0,3,Islamists behead two brothers and shoot another civilian dead in a separate attack.
190,4/5/2002,India,Madiyani,5,0,5,"Hizb-ul-Mujahideen murder five people, including two brothers and a father and son in an overnight raid."
191,5/5/2002,Pakistan,Karachi,1,0,1,A Sunni activist is slain in a sectarian attack.
192,5/5/2002,India,Kashmir,2,0,2,Two civilians are murdered by the Mujahideen in separate attacks (Hajipora & Budhal).
193,5/5/2002,Pakistan,Karachi,1,0,1,Policeman killed by Islamist gunmen.
194,6/5/2002,Pakistan,Karachi,3,0,3,"Three persons - principal of a government institute, his driver and assistant - are killed in an ambush by armed fundamentalists."
195,7/5/2002,Israel,Rishon Lezion,15,55,70,Fifteen people are killed and fifty-five more injured in a Fedayeen suicide attack on a crowded game club.
196,7/5/2002,Pakistan,Lahore,3,0,3,"Noted religious scholar Ghulam Murtaza Malik, his driver and a police personnel are shot to death by Islamists.."
197,7/5/2002,Pakistan,Karachi,1,0,1,Another sectarian killing by two gunmen.
198,8/5/2002,India,Morha Bagla,1,0,1,Two Jihad terrorists kill a man after getting directions from him.
199,8/5/2002,Pakistan,Karachi,16,34,50,Twelve French nationals and four Pakistanis are killed and 34 more injured in a suicide bombing against a bus opposite Sheraton Hotel.
200,9/5/2002,Dagestan,Kaspiisk,45,170,215,"Chechen terrorists detonate a bomb at a Russian military parade, slaughtering forty-five innocents and injuring more than one-hundred and seventy."
201,9/5/2002,Pakistan,Rawalpindi,2,1,3,Two policemen killed and one injured in Islamist attack.
202,9/5/2002,India,Dalwa,1,1,2,"Lashkar-e-Toiba abduct two brothers who refuse to join them.  Both are tortured, with one dying."
203,10/5/2002,India,Kither,1,1,2,The Mujahideen kill one civilian and severely injure another in their homes.
204,10/5/2002,India,Nandipora-Beerwah,2,0,2,A man and his elderly father are killed inside their home by militant Muslims.
205,12/5/2002,India,Butshungni-Winder,2,2,4,"The Mujahideen kill two civilians, critically injure another and abduct a fourth."
206,13/5/2002,India,Sarawa,1,0,1,Lashkar-e-Toiba terrorists force their way into a home and kill a man's son for his refusal to join them.
207,14/5/2002,Algeria,Baraqi,5,0,5,Five policeman are assassinated by fundamentalists in two separate attacks (first attack was in Dali Ibrahim).
208,14/5/2002,Algeria,Tazmalt,7,5,12,Religious fundamentalists set off a bomb at the entrance to a market.
209,14/5/2002,India,Kaluchak,36,48,84,"Islamic militants raid a military camp, killing thirty-six people, mostly the wives and children of Indian soldiers, including a 2-month-old child."
210,16/5/2002,Indonesia,Tamonjeka,2,0,2,Two Christian men are killed by suspected Muslim radicals.
211,17/5/2002,India,Bonkoot,1,1,2,Jaish-e-Mohammed murder an 18-year-old and injure his mother as she tries to protect him.
212,17/5/2002,India,Jammu,2,16,18,Two are killed in militant Muslim bomb blast.
213,19/5/2002,India,Chasana,4,7,11,Fedayeen attack on Indian military camp kills four and leaves seven injured.
214,19/5/2002,Israel,Netanya,3,59,62,A Palestinian suicide bomber kills three and injures fifty-nine other shoppers at a market.
215,21/5/2002,Pakistan,Karachi,1,12,13,One person is killed in a sectarian attack on a Shia religious procession.
216,22/5/2002,Israel,Rishon Lezion,2,40,42,A Palestinian suicide bomber kills two and injures forty people at a shopping mall.
217,22/5/2002,India,Kashmir,5,3,8,Five people are killed by the Mujahideen in four separate attacks.
218,22/5/2002,Pakistan,Gulistan-e-Mustafa,1,0,1,A Sunni activist is killed in a sectarian attack.
219,23/5/2002,India,Kashmir,2,10,12,"Two civilians are separately abducted and murdered by the Mujahideen (Kandi, Warpora).  Ten others are injured in a grenade attack at a bus station."
220,24/5/2002,India,Kupwara,2,0,2,Two civilians are killed in separate attacks by Islamic terrorists (one in captivity).
221,25/5/2002,India,Shopian,9,0,9,Nine persons are injured in a grenade attack on a city street.
222,25/5/2002,Indonesia,Saparua,5,11,16,A Muslim boat attack kills five Christians and wounds eleven others.
223,27/5/2002,USA,"Denton, TX",1,0,1,Muslim snipers kill a man as he works in his yard.
224,27/5/2002,Israel,Petah Tikva,2,37,39,Fatah takes credit for killing a 14-month-old baby and her grandmother near an ice-cream parlor in an attack that also injured thirty-seven.
225,28/5/2002,Israel,Itamar,3,2,5,Palestinian gunman kills three teenagers and injures another two. All youths were playing basketball in their community at the time.
226,28/5/2002,India,Sharat Shopian,2,0,2,The Mujahideen murder two sisters.
227,30/5/2002,Pakistan,Karachi,1,0,1,The female principle of a private school is shot to death by Islamists as she is walking to the building.
228,30/5/2002,India,Thanna Mandi,2,1,3,A female police officer and a civilian are killed in a Mujahideen attack.
