Country,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
French Polynesia,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Gabon,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
"Gambia, The",Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.975989819,7.990149975,7.927979946,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Georgia,Female,13.76459026,13.97749043,14.04671955,14.10254955,14.22214031,14.06982994,6.915052,13.47216034,7.40053,7.451479,7.6110217,7.518429,14.34210014,14.55770016,14.81770039,14.95318031,15.28092957,15.53048038
Germany,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,16.59387016,16.6177597,16.72620964,16.82025909,16.91136932,16.90873909
Ghana,Female,6.877379894,7.156380177,7.050020218,7.370800018,7.973499775,8.42881012,9.079299927,9.594739914,9.743080139,7.451479,10.48363018,10.75697041,10.98810005,10.76309967,11.29491043,11.35663986,11.31040001,11.3762598
Gibraltar,Female,12.16022968,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,11.94550037,12.12277031,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Greece,Female,14.88175011,15.36641979,15.38395977,15.69250011,16.28170967,16.4085598,15.83351994,7.1397,7.40053,16.78190994,16.90748978,17.16814995,17.31731033,17.79460907,7.85218,18.54898071,19.04327965,19.45849037
Greenland,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
Grenada,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,18.29858017,7.451479,7.6110217,7.518429,7.347691,7.556197,19.01870918,19.36046028,18.87457085,19.1821003
Guam,Female,6.335726,6.746629,6.808572,7.001296,7.073396,7.128346,6.915052,7.1397,7.40053,7.451479,7.6110217,7.518429,7.347691,7.556197,7.85218,7.693972,7.708672,7.138186
