LATITUDE,LONGITUDE,DEATHS
5.468,95.242,0
5.565,95.317,0
5.55,95.307,0
5.499,95.226,0
5.597,95.376,0
5.483,95.264,0
5.435,95.234,0
5.631,95.397,0
5.476,95.236,0
5.432,95.235,0
5.464,95.247,0
5.314,95.241,0
5.478,95.24,0
5.544,95.295,0
5.534,95.272,0
5.5,95.233,0
5.556,95.312,0
5.571,95.321,0
5.527,95.276,0
5.553,95.298,0
5.578,95.329,0
5.577,95.329,0
5.556,95.293,0
5.551,95.301,0
5.532,95.289,0
5.543,95.247,0
5.555,95.306,0
5.486,95.228,0
5.465,95.242,0
5.473,95.255,0
5.445,95.243,0
5.61,95.397,0
5.46,95.246,0
5.489,95.233,0
5.314,95.24,0
5.54,95.298,0
5.547,95.278,0
5.536,95.283,0
2.83004,95.76647,0
5.604,95.346,0
2.83054,95.76745,0
5.583,95.35,0
2.82765,95.74719,0
2.8258,95.74737,0
5.477,95.245,0
2.82358,95.75631,0
5.443,95.242,0
9.98,76.28,0
8.567,81.233,0
5.405,95.254,0
-12,96.83,0
5.5,95.3,0
11.18,75.82,0
5.534,95.292,0
2.86,95.59,0
10.77,79.83,0
5.539,95.256,0
8.88,76.6,0
0.565796,97.820721,0
5.502,95.229,0
10.77,79.83,0
5.549,95.306,0
5.479,95.243,0
5.539,95.257,0
5.414,95.249,0
8.88,76.6,0
5.551,95.307,0
5.65,95.42,0
5.611,95.389,0
5.593,95.336,0
8.75,78.2,0
5.55,95.308,0
5.507,95.26,0
1.2667,97.5667,0
1.267,97.5667,0
5.559,95.284,0
5.556,95.285,0
5.555,95.286,0
5.61,95.397,0
5.384,95.968,0
5.549,95.311,0
5.611,95.39,0
9.49,76.33,0
0.95,97.42,0
5.479,95.245,0
5.389,95.96,0
5.542,95.285,0
5.479,95.242,0
5.479,95.242,0
5.479,95.241,0
5.596,95.526,0
5.541,95.287,0
5.478,95.241,0
